lightpink,,lightpink,#FFB6C1,255,182,193
pink,,pink,#FFC0CB,255,192,203
crimson,,crimson,#DC143C,220,20,60
lavenderblush,,lavenderblush,#FFF0F5,255,240,245
palevioletred,,palevioletred,#DB7093,219,112,147
hotpink,,hotpink,#FF69B4,255,105,180
deeppink,,deeppink,#FF1493,255,20,147
mediumvioletred,,mediumvioletred,#C71585,199,21,133
orchid,,orchid,#DA70D6,218,112,214
thistle,,thistle,#D8BFD8,216,191,216
plum,,plum,#DDA0DD,221,160,221
violet,,violet,#EE82EE,238,130,238
fuchsia*,,fuchsia*,#FF00FF,255,0,255
darkmagenta,,darkmagenta,#8B008B,139,0,139
purple*,,purple*,#800080,128,0,128
mediumorchid,,mediumorchid,#BA55D3,186,85,211
darkviolet,,darkviolet,#9400D3,148,0,211
darkorchid,,darkorchid,#9932CC,153,50,204
indigo,,indigo,#4B0082,75,0,130
blueviolet,,blueviolet,#8A2BE2,138,43,226
mediumpurple,,mediumpurple,#9370DB,147,112,219
mediumslateblue,,mediumslateblue,#7B68EE,123,104,238
slateblue,,slateblue,#6A5ACD,106,90,205
darkslateblue,,darkslateblue,#483D8B,72,61,139
ghostwhite,,ghostwhite,#F8F8FF,248,248,255
lavender,,lavender,#E6E6FA,230,230,250
blue*,,blue*,#0000FF,0,0,255
mediumblue,,mediumblue,#0000CD,0,0,205
darkblue,,darkblue,#00008B,0,0,139
navy*,,navy*,#000080,0,0,128
midnightblue,,midnightblue,#191970,25,25,112
royalblue,,royalblue,#4169E1,65,105,225
cornflowerblue,,cornflowerblue,#6495ED,100,149,237
lightsteelblue,,lightsteelblue,#B0C4DE,176,196,222
lightslategray,,lightslategray,#778899,119,136,153
slategray,,slategray,#708090,112,128,144
dodgerblue,,dodgerblue,#1E90FF,30,144,255
aliceblue,,aliceblue,#F0F8FF,240,248,255
steelblue,,steelblue,#4682B4,70,130,180
lightskyblue,,lightskyblue,#87CEFA,135,206,250
skyblue,,skyblue,#87CEEB,135,206,235
deepskyblue,,deepskyblue,#00BFFF,0,191,255
lightblue,,lightblue,#ADD8E6,173,216,230
powderblue,,powderblue,#B0E0E6,176,224,230
cadetblue,,cadetblue,#5F9EA0,95,158,160
darkturquoise,,darkturquoise,#00CED1,0,206,209
azure,,azure,#F0FFFF,240,255,255
lightcyan,,lightcyan,#E0FFFF,224,255,255
paleturquoise,,paleturquoise,#AFEEEE,175,238,238
aqua*,,aqua*,#00FFFF,0,255,255
darkcyan,,darkcyan,#008B8B,0,139,139
teal*,,teal*,#008080,0,128,128
darkslategray,,darkslategray,#2F4F4F,47,79,79
mediumturquoise,,mediumturquoise,#48D1CC,72,209,204
lightseagreen,,lightseagreen,#20B2AA,32,178,170
turquoise,,turquoise,#40E0D0,64,224,208
aquamarine,,aquamarine,#7FFFD4,127,255,212
mediumaquamarine,,mediumaquamarine,#66CDAA,102,205,170
mediumspringgreen,,mediumspringgreen,#00FA9A,0,250,154
mintcream,,mintcream,#F5FFFA,245,255,250
springgreen,,springgreen,#00FF7F,0,255,127
mediumseagreen,,mediumseagreen,#3CB371,60,179,113
seagreen,,seagreen,#2E8B57,46,139,87
honeydew,,honeydew,#F0FFF0,240,255,240
darkseagreen,,darkseagreen,#8FBC8F,143,188,143
palegreen,,palegreen,#98FB98,152,251,152
lightgreen,,lightgreen,#90EE90,144,238,144
limegreen,,limegreen,#32CD32,50,205,50
lime*,,lime*,#00FF00,0,255,0
forestgreen,,forestgreen,#228B22,34,139,34
green*,,green*,#008000,0,128,0
darkgreen,,darkgreen,#006400,0,100,0
lawngreen,,lawngreen,#7CFC00,124,252,0
chartreuse,,chartreuse,#7FFF00,127,255,0
greenyellow,,greenyellow,#ADFF2F,173,255,47
darkolivegreen,,darkolivegreen,#556B2F,85,107,47
yellowgreen,,yellowgreen,#9ACD32,154,205,50
olivedrab,,olivedrab,#6B8E23,107,142,35
ivory,,ivory,#FFFFF0,255,255,240
beige,,beige,#F5F5DC,245,245,220
lightyellow,,lightyellow,#FFFFE0,255,255,224
lightgoldenrodyellow,,lightgoldenrodyellow,#FAFAD2,250,250,210
yellow*,,yellow*,#FFFF00,255,255,0
olive*,,olive*,#808000,128,128,0
darkkhaki,,darkkhaki,#BDB76B,189,183,107
palegoldenrod,,palegoldenrod,#EEE8AA,238,232,170
lemonchiffon,,lemonchiffon,#FFFACD,255,250,205
khaki,,khaki,#F0E68C,240,230,140
gold,,gold,#FFD700,255,215,0
cornsilk,,cornsilk,#FFF8DC,255,248,220
goldenrod,,goldenrod,#DAA520,218,165,32
darkgoldenrod,,darkgoldenrod,#B8860B,184,134,11
floralwhite,,floralwhite,#FFFAF0,255,250,240
oldlace,,oldlace,#FDF5E6,253,245,230
wheat,,wheat,#F5DEB3,245,222,179
orange*,,orange,#FFA500,255,165,0
moccasin,,moccasin,#FFE4B5,255,228,181
papayawhip,,papayawhip,#FFEFD5,255,239,213
blanchedalmond,,blanchedalmond,#FFEBCD,255,235,205
navajowhite,,navajowhite,#FFDEAD,255,222,173
antiquewhite,,antiquewhite,#FAEBD7,250,235,215
tan,,tan,#D2B48C,210,180,140
burlywood,,burlywood,#DEB887,222,184,135
darkorange,,darkorange,#FF8C00,255,140,0
bisque,,bisque,#FFE4C4,255,228,196
linen,,linen,#FAF0E6,250,240,230
peru,,peru,#CD853F,205,133,63
peachpuff,,peachpuff,#FFDAB9,255,218,185
sandybrown,,sandybrown,#F4A460,244,164,96
chocolate,,chocolate,#D2691E,210,105,30
saddlebrown,,saddlebrown,#8B4513,139,69,19
seashell,,seashell,#FFF5EE,255,245,238
sienna,,sienna,#A0522D,160,82,45
lightsalmon,,lightsalmon,#FFA07A,255,160,122
coral,,coral,#FF7F50,255,127,80
orangered,,orangered,#FF4500,255,69,0
darksalmon,,darksalmon,#E9967A,233,150,122
tomato,,tomato,#FF6347,255,99,71
salmon,,salmon,#FA8072,250,128,114
mistyrose,,mistyrose,#FFE4E1,255,228,225
lightcoral,,lightcoral,#F08080,240,128,128
snow,,snow,#FFFAFA,255,250,250
rosybrown,,rosybrown,#BC8F8F,188,143,143
indianred,,indianred,#CD5C5C,205,92,92
red*,,red*,#FF0000,255,0,0
brown,,brown,#A52A2A,165,42,42
firebrick,,firebrick,#B22222,178,34,34
darkred,,darkred,#8B0000,139,0,0
maroon*,,maroon*,#800000,128,0,0
white*,,white*,#FFFFFF,255,255,255
whitesmoke,,whitesmoke,#F5F5F5,245,245,245
gainsboro,,gainsboro,#DCDCDC,220,220,220
lightgrey,,lightgrey,#D3D3D3,211,211,211
silver*,,silver*,#C0C0C0,192,192,192
darkgray,,darkgray,#A9A9A9,169,169,169
gray*,,gray*,#808080,128,128,128
dimgray,,dimgray,#696969,105,105,105
black*,,black*,#000000,0,0,0